Unloaded module: latex/TeXLive12
Loaded module: python3/3.6.2
Train: 0.7661138771301269 Validation: 0.7424498187918777

c1=-10, c2=-30, d=-5, lambda=0.001

Train: 0.816646686483109 Validation: 0.7941794796810093

c1=-10, c2=-30, d=-5, lambda=0.01

Train: 0.7704819147424504 Validation: 0.7469273681470086

c1=-10, c2=-30, d=-5, lambda=0.1

Train: 0.7665447178657387 Validation: 0.7428915153610351

c1=-10, c2=-30, d=-5, lambda=1

Train: 0.7661569023533444 Validation: 0.7424939286512601

c1=-10, c2=-30, d=-5, lambda=10

Train: 0.7661181790648716 Validation: 0.7424542291807771

c1=-10, c2=-30, d=0, lambda=0.001

Train: 0.5555076189466934 Validation: 0.5264812597226138

c1=-10, c2=-30, d=0, lambda=0.01

Train: 0.5555076189496058 Validation: 0.5264812471594592

c1=-10, c2=-30, d=0, lambda=0.1

Train: 0.555507619240874 Validation: 0.5264811217352311

c1=-10, c2=-30, d=0, lambda=1

Train: 0.5555076483495623 Validation: 0.5264798955628145

c1=-10, c2=-30, d=0, lambda=10

Train: 0.5555105411811626 Validation: 0.5264704214376545

c1=-10, c2=-30, d=5, lambda=0.001

Train: 0.07608849414786177 Validation: 0.29101502906835663

c1=-10, c2=-30, d=5, lambda=0.01

Train: 0.0760882718196601 Validation: 0.29101196639067006

c1=-10, c2=-30, d=5, lambda=0.1

Train: 0.07608825784290636 Validation: 0.29101500834527516

c1=-10, c2=-30, d=5, lambda=1

Train: 0.07608825781397709 Validation: 0.29101494921429055

c1=-10, c2=-30, d=5, lambda=10

Train: 0.0760882578142298 Validation: 0.2910149565873898

c1=-10, c2=-30, d=10, lambda=0.001
singular matrix error
c1=-10.5, c2=-31.5, d=10.5, lambda=0.0010500000000000002
c1=-10, c2=-30, d=10, lambda=0.01
singular matrix error
c1=-10.5, c2=-31.5, d=10.5, lambda=0.0105
c1=-10, c2=-30, d=10, lambda=0.1
singular matrix error
c1=-10.5, c2=-31.5, d=10.5, lambda=0.10500000000000001
c1=-10, c2=-30, d=10, lambda=1
singular matrix error
c1=-10.5, c2=-31.5, d=10.5, lambda=1.05
c1=-10, c2=-30, d=10, lambda=10

Train: 7.951534201334454e+16 Validation: 3.585577074303939e+16

c1=-10, c2=-30, d=15, lambda=0.001
singular matrix error
c1=-10.5, c2=-31.5, d=15.75, lambda=0.0010500000000000002
c1=-10, c2=-30, d=15, lambda=0.01
singular matrix error
c1=-10.5, c2=-31.5, d=15.75, lambda=0.0105
c1=-10, c2=-30, d=15, lambda=0.1
singular matrix error
c1=-10.5, c2=-31.5, d=15.75, lambda=0.10500000000000001
c1=-10, c2=-30, d=15, lambda=1
singular matrix error
c1=-10.5, c2=-31.5, d=15.75, lambda=1.05
c1=-10, c2=-30, d=15, lambda=10
singular matrix error
c1=-10.5, c2=-31.5, d=15.75, lambda=10.5
c1=-10, c2=-30, d=20, lambda=0.001
singular matrix error
c1=-10.5, c2=-31.5, d=21.0, lambda=0.0010500000000000002
c1=-10, c2=-30, d=20, lambda=0.01
singular matrix error
c1=-10.5, c2=-31.5, d=21.0, lambda=0.0105
c1=-10, c2=-30, d=20, lambda=0.1
singular matrix error
c1=-10.5, c2=-31.5, d=21.0, lambda=0.10500000000000001
c1=-10, c2=-30, d=20, lambda=1
singular matrix error
c1=-10.5, c2=-31.5, d=21.0, lambda=1.05
c1=-10, c2=-30, d=20, lambda=10
singular matrix error
c1=-10.5, c2=-31.5, d=21.0, lambda=10.5
c1=-10, c2=-27.5, d=-30, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-30, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-30, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-30, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-30, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-25, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-25, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-25, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-25, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-25, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-20, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-20, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-20, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-20, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-20, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-15, lambda=0.001

Train: 0.7661138771303025 Validation: 0.7424498187920578

c1=-10, c2=-27.5, d=-15, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-15, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-15, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-15, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-27.5, d=-10, lambda=0.001

Train: 0.7661138729499472 Validation: 0.7424498145039015

c1=-10, c2=-27.5, d=-10, lambda=0.01

Train: 0.7661138767122667 Validation: 0.742449818363242

c1=-10, c2=-27.5, d=-10, lambda=0.1

Train: 0.7661138770884988 Validation: 0.742449818749176

c1=-10, c2=-27.5, d=-10, lambda=1

Train: 0.7661138771261219 Validation: 0.7424498187877694

c1=-10, c2=-27.5, d=-10, lambda=10

Train: 0.7661138771298842 Validation: 0.7424498187916287

c1=-10, c2=-27.5, d=-5, lambda=0.001

Train: 0.8520123041555294 Validation: 0.8303034785553101

c1=-10, c2=-27.5, d=-5, lambda=0.01

Train: 0.7729130215464763 Validation: 0.7494192959234055

c1=-10, c2=-27.5, d=-5, lambda=0.1

Train: 0.7667794562882422 Validation: 0.7431322031075459

c1=-10, c2=-27.5, d=-5, lambda=1

Train: 0.7661802945866231 Validation: 0.7425179145058531

c1=-10, c2=-27.5, d=-5, lambda=10

Train: 0.7661205174741776 Validation: 0.7424566269391204

c1=-10, c2=-27.5, d=0, lambda=0.001

Train: 0.5555076189466934 Validation: 0.5264812597226138

c1=-10, c2=-27.5, d=0, lambda=0.01

Train: 0.5555076189496058 Validation: 0.5264812471594592

c1=-10, c2=-27.5, d=0, lambda=0.1

Train: 0.555507619240874 Validation: 0.5264811217352311

c1=-10, c2=-27.5, d=0, lambda=1

Train: 0.5555076483495623 Validation: 0.5264798955628145

c1=-10, c2=-27.5, d=0, lambda=10

Train: 0.5555105411811626 Validation: 0.5264704214376545

c1=-10, c2=-27.5, d=5, lambda=0.001

Train: 0.07608836918699785 Validation: 0.2918385385084243

c1=-10, c2=-27.5, d=5, lambda=0.01

Train: 0.07608825897696911 Validation: 0.29184642575550007

c1=-10, c2=-27.5, d=5, lambda=0.1

Train: 0.07608825782676967 Validation: 0.291846823336283

c1=-10, c2=-27.5, d=5, lambda=1

Train: 0.07608825781393365 Validation: 0.2918467042124483

c1=-10, c2=-27.5, d=5, lambda=10

Train: 0.07608825781462555 Validation: 0.29184672418267815

c1=-10, c2=-27.5, d=10, lambda=0.001
singular matrix error
c1=-10.5, c2=-28.875, d=10.5, lambda=0.0010500000000000002
c1=-10, c2=-27.5, d=10, lambda=0.01
singular matrix error
c1=-10.5, c2=-28.875, d=10.5, lambda=0.0105
c1=-10, c2=-27.5, d=10, lambda=0.1
singular matrix error
c1=-10.5, c2=-28.875, d=10.5, lambda=0.10500000000000001
c1=-10, c2=-27.5, d=10, lambda=1
singular matrix error
c1=-10.5, c2=-28.875, d=10.5, lambda=1.05
c1=-10, c2=-27.5, d=10, lambda=10

Train: 7.72631991580842e+18 Validation: 3.7918541138041073e+18

c1=-10, c2=-27.5, d=15, lambda=0.001
singular matrix error
c1=-10.5, c2=-28.875, d=15.75, lambda=0.0010500000000000002
c1=-10, c2=-27.5, d=15, lambda=0.01
singular matrix error
c1=-10.5, c2=-28.875, d=15.75, lambda=0.0105
c1=-10, c2=-27.5, d=15, lambda=0.1
singular matrix error
c1=-10.5, c2=-28.875, d=15.75, lambda=0.10500000000000001
c1=-10, c2=-27.5, d=15, lambda=1
singular matrix error
c1=-10.5, c2=-28.875, d=15.75, lambda=1.05
c1=-10, c2=-27.5, d=15, lambda=10
singular matrix error
c1=-10.5, c2=-28.875, d=15.75, lambda=10.5
c1=-10, c2=-27.5, d=20, lambda=0.001
singular matrix error
c1=-10.5, c2=-28.875, d=21.0, lambda=0.0010500000000000002
c1=-10, c2=-27.5, d=20, lambda=0.01
singular matrix error
c1=-10.5, c2=-28.875, d=21.0, lambda=0.0105
c1=-10, c2=-27.5, d=20, lambda=0.1
singular matrix error
c1=-10.5, c2=-28.875, d=21.0, lambda=0.10500000000000001
c1=-10, c2=-27.5, d=20, lambda=1
singular matrix error
c1=-10.5, c2=-28.875, d=21.0, lambda=1.05
c1=-10, c2=-27.5, d=20, lambda=10
singular matrix error
c1=-10.5, c2=-28.875, d=21.0, lambda=10.5
c1=-10, c2=-25.0, d=-30, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-30, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-30, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-30, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-30, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-25, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-25, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-25, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-25, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-25, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-20, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-20, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-20, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-20, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-20, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-15, lambda=0.001

Train: 0.7661138771303033 Validation: 0.7424498187920586

c1=-10, c2=-25.0, d=-15, lambda=0.01

Train: 0.7661138771303023 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-15, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-15, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-15, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-25.0, d=-10, lambda=0.001

Train: 0.7661138663044788 Validation: 0.7424498076863907

c1=-10, c2=-25.0, d=-10, lambda=0.01

Train: 0.7661138760477199 Validation: 0.7424498176814908

c1=-10, c2=-25.0, d=-10, lambda=0.1

Train: 0.766113877022044 Validation: 0.7424498186810009

c1=-10, c2=-25.0, d=-10, lambda=1

Train: 0.7661138771194764 Validation: 0.742449818780952

c1=-10, c2=-25.0, d=-10, lambda=10

Train: 0.7661138771292196 Validation: 0.742449818790947

c1=-10, c2=-25.0, d=-5, lambda=0.001

Train: 0.9323422369139616 Validation: 0.9121454147470486

c1=-10, c2=-25.0, d=-5, lambda=0.01

Train: 0.7772131584530669 Validation: 0.753826343184905

c1=-10, c2=-25.0, d=-5, lambda=0.1

Train: 0.7671861432133209 Validation: 0.7435492146557676

c1=-10, c2=-25.0, d=-5, lambda=1

Train: 0.7662207393430074 Validation: 0.7425593881328694

c1=-10, c2=-25.0, d=-5, lambda=10

Train: 0.7661245597194659 Validation: 0.7424607720356269

c1=-10, c2=-25.0, d=0, lambda=0.001

Train: 0.5555076189466934 Validation: 0.5264812597226138

c1=-10, c2=-25.0, d=0, lambda=0.01

Train: 0.5555076189496058 Validation: 0.5264812471594592

c1=-10, c2=-25.0, d=0, lambda=0.1

Train: 0.555507619240874 Validation: 0.5264811217352311

c1=-10, c2=-25.0, d=0, lambda=1

Train: 0.5555076483495623 Validation: 0.5264798955628145

c1=-10, c2=-25.0, d=0, lambda=10

Train: 0.5555105411811626 Validation: 0.5264704214376545

c1=-10, c2=-25.0, d=5, lambda=0.001

Train: 0.07608831395260834 Validation: 0.29283168795644154

c1=-10, c2=-25.0, d=5, lambda=0.01

Train: 0.07608825839207302 Validation: 0.2928419715018507

c1=-10, c2=-25.0, d=5, lambda=0.1

Train: 0.0760882578187064 Validation: 0.29284211820041717

c1=-10, c2=-25.0, d=5, lambda=1

Train: 0.0760882578145108 Validation: 0.2928421115877349

c1=-10, c2=-25.0, d=5, lambda=10

Train: 0.076088257815482 Validation: 0.29284216106490213

c1=-10, c2=-25.0, d=10, lambda=0.001
singular matrix error
c1=-10.5, c2=-26.25, d=10.5, lambda=0.0010500000000000002
c1=-10, c2=-25.0, d=10, lambda=0.01
singular matrix error
c1=-10.5, c2=-26.25, d=10.5, lambda=0.0105
c1=-10, c2=-25.0, d=10, lambda=0.1
singular matrix error
c1=-10.5, c2=-26.25, d=10.5, lambda=0.10500000000000001
c1=-10, c2=-25.0, d=10, lambda=1
singular matrix error
c1=-10.5, c2=-26.25, d=10.5, lambda=1.05
c1=-10, c2=-25.0, d=10, lambda=10

Train: 1.5004950857876507e+22 Validation: 7.416447747683151e+20

c1=-10, c2=-25.0, d=15, lambda=0.001
singular matrix error
c1=-10.5, c2=-26.25, d=15.75, lambda=0.0010500000000000002
c1=-10, c2=-25.0, d=15, lambda=0.01
singular matrix error
c1=-10.5, c2=-26.25, d=15.75, lambda=0.0105
c1=-10, c2=-25.0, d=15, lambda=0.1
singular matrix error
c1=-10.5, c2=-26.25, d=15.75, lambda=0.10500000000000001
c1=-10, c2=-25.0, d=15, lambda=1
singular matrix error
c1=-10.5, c2=-26.25, d=15.75, lambda=1.05
c1=-10, c2=-25.0, d=15, lambda=10
singular matrix error
c1=-10.5, c2=-26.25, d=15.75, lambda=10.5
c1=-10, c2=-25.0, d=20, lambda=0.001
singular matrix error
c1=-10.5, c2=-26.25, d=21.0, lambda=0.0010500000000000002
c1=-10, c2=-25.0, d=20, lambda=0.01
singular matrix error
c1=-10.5, c2=-26.25, d=21.0, lambda=0.0105
c1=-10, c2=-25.0, d=20, lambda=0.1
singular matrix error
c1=-10.5, c2=-26.25, d=21.0, lambda=0.10500000000000001
c1=-10, c2=-25.0, d=20, lambda=1
singular matrix error
c1=-10.5, c2=-26.25, d=21.0, lambda=1.05
c1=-10, c2=-25.0, d=20, lambda=10
singular matrix error
c1=-10.5, c2=-26.25, d=21.0, lambda=10.5
c1=-10, c2=-22.5, d=-30, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-30, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-30, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-30, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-30, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-25, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-25, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-25, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-25, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-25, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-20, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-20, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-20, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-20, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-20, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-15, lambda=0.001

Train: 0.7661138771303075 Validation: 0.742449818792063

c1=-10, c2=-22.5, d=-15, lambda=0.01

Train: 0.7661138771303028 Validation: 0.7424498187920581

c1=-10, c2=-22.5, d=-15, lambda=0.1

Train: 0.7661138771303023 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-15, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-15, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-22.5, d=-10, lambda=0.001

Train: 0.7661138461375592 Validation: 0.7424497869961086

c1=-10, c2=-22.5, d=-10, lambda=0.01

Train: 0.7661138740310276 Validation: 0.7424498156124624

c1=-10, c2=-22.5, d=-10, lambda=0.1

Train: 0.7661138768203748 Validation: 0.7424498184740981

c1=-10, c2=-22.5, d=-10, lambda=1

Train: 0.7661138770993094 Validation: 0.7424498187602616

c1=-10, c2=-22.5, d=-10, lambda=10

Train: 0.766113877127203 Validation: 0.742449818788878

c1=-10, c2=-22.5, d=-5, lambda=0.001

Train: 1.1938333024590857 Validation: 1.1771485997469116

c1=-10, c2=-22.5, d=-5, lambda=0.01

Train: 0.785403953973796 Validation: 0.7622180491687582

c1=-10, c2=-22.5, d=-5, lambda=0.1

Train: 0.7679321852830588 Validation: 0.7443142201189873

c1=-10, c2=-22.5, d=-5, lambda=1

Train: 0.7662946616692262 Validation: 0.7426351958891991

c1=-10, c2=-22.5, d=-5, lambda=10

Train: 0.7661319451789943 Validation: 0.7424683459294362

c1=-10, c2=-22.5, d=0, lambda=0.001

Train: 0.5555076189466934 Validation: 0.5264812597226138

c1=-10, c2=-22.5, d=0, lambda=0.01

Train: 0.5555076189496058 Validation: 0.5264812471594592

c1=-10, c2=-22.5, d=0, lambda=0.1

Train: 0.555507619240874 Validation: 0.5264811217352311

c1=-10, c2=-22.5, d=0, lambda=1

Train: 0.5555076483495623 Validation: 0.5264798955628145

c1=-10, c2=-22.5, d=0, lambda=10

Train: 0.5555105411811626 Validation: 0.5264704214376545

c1=-10, c2=-22.5, d=5, lambda=0.001

Train: 0.07608827999265912 Validation: 0.294049923735573

c1=-10, c2=-22.5, d=5, lambda=0.01

Train: 0.0760882580472388 Validation: 0.2940532250742148

c1=-10, c2=-22.5, d=5, lambda=0.1

Train: 0.07608825781553455 Validation: 0.2940535428856602

c1=-10, c2=-22.5, d=5, lambda=1

Train: 0.07608825781385947 Validation: 0.2940535410693923

c1=-10, c2=-22.5, d=5, lambda=10

Train: 0.076088257817508 Validation: 0.2940535764491915

c1=-10, c2=-22.5, d=10, lambda=0.001
singular matrix error
c1=-10.5, c2=-23.625, d=10.5, lambda=0.0010500000000000002
c1=-10, c2=-22.5, d=10, lambda=0.01
singular matrix error
c1=-10.5, c2=-23.625, d=10.5, lambda=0.0105
c1=-10, c2=-22.5, d=10, lambda=0.1
singular matrix error
c1=-10.5, c2=-23.625, d=10.5, lambda=0.10500000000000001
c1=-10, c2=-22.5, d=10, lambda=1
singular matrix error
c1=-10.5, c2=-23.625, d=10.5, lambda=1.05
c1=-10, c2=-22.5, d=10, lambda=10

Train: 6.5912697098134104e+16 Validation: 1162755732618680.0

c1=-10, c2=-22.5, d=15, lambda=0.001
singular matrix error
c1=-10.5, c2=-23.625, d=15.75, lambda=0.0010500000000000002
c1=-10, c2=-22.5, d=15, lambda=0.01
singular matrix error
c1=-10.5, c2=-23.625, d=15.75, lambda=0.0105
c1=-10, c2=-22.5, d=15, lambda=0.1
singular matrix error
c1=-10.5, c2=-23.625, d=15.75, lambda=0.10500000000000001
c1=-10, c2=-22.5, d=15, lambda=1
singular matrix error
c1=-10.5, c2=-23.625, d=15.75, lambda=1.05
c1=-10, c2=-22.5, d=15, lambda=10
singular matrix error
c1=-10.5, c2=-23.625, d=15.75, lambda=10.5
c1=-10, c2=-22.5, d=20, lambda=0.001
singular matrix error
c1=-10.5, c2=-23.625, d=21.0, lambda=0.0010500000000000002
c1=-10, c2=-22.5, d=20, lambda=0.01
singular matrix error
c1=-10.5, c2=-23.625, d=21.0, lambda=0.0105
c1=-10, c2=-22.5, d=20, lambda=0.1
singular matrix error
c1=-10.5, c2=-23.625, d=21.0, lambda=0.10500000000000001
c1=-10, c2=-22.5, d=20, lambda=1
singular matrix error
c1=-10.5, c2=-23.625, d=21.0, lambda=1.05
c1=-10, c2=-22.5, d=20, lambda=10
singular matrix error
c1=-10.5, c2=-23.625, d=21.0, lambda=10.5
c1=-10, c2=-20.0, d=-30, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-30, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-30, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-30, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-30, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-25, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-25, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-25, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-25, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-25, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-20, lambda=0.001

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-20, lambda=0.01

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-20, lambda=0.1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-20, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-20, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-15, lambda=0.001

Train: 0.7661138771303334 Validation: 0.7424498187920895

c1=-10, c2=-20.0, d=-15, lambda=0.01

Train: 0.7661138771303053 Validation: 0.7424498187920607

c1=-10, c2=-20.0, d=-15, lambda=0.1

Train: 0.7661138771303025 Validation: 0.7424498187920578

c1=-10, c2=-20.0, d=-15, lambda=1

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-15, lambda=10

Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-10, c2=-20.0, d=-10, lambda=0.001

Train: 0.7661137766943963 Validation: 0.7424497157461657

c1=-10, c2=-20.0, d=-10, lambda=0.01

Train: 0.7661138670867084 Validation: 0.7424498084874651

c1=-10, c2=-20.0, d=-10, lambda=0.1

Train: 0.7661138761259428 Validation: 0.7424498177615982

c1=-10, c2=-20.0, d=-10, lambda=1

Train: 0.7661138770298663 Validation: 0.7424498186890116

c1=-10, c2=-20.0, d=-10, lambda=10

Train: 0.7661138771202587 Validation: 0.7424498187817529

c1=-10, c2=-20.0, d=-5, lambda=0.001

